id,nb_of_available_parking_spaces,ferme,parking_id,date
52289,298,f,LPA0724,2024-12-15 19:07:10
52288,387,f,LPA0716,2024-12-15 19:07:10
52287,422,f,LPA0706,2024-12-15 19:07:10
52286,184,f,LPA0702,2024-12-15 19:07:10
52291,169,f,LPA0732,2024-12-15 19:07:10
52312,141,f,LPA0759,2024-12-15 19:08:08
52311,182,f,LPA0756,2024-12-15 19:08:08
52310,220,f,LPA0752,2024-12-15 19:08:08
52309,1519,f,LPA0750,2024-12-15 19:08:08
52308,274,f,LPA0746,2024-12-15 19:08:08
52307,114,f,LPA0740,2024-12-15 19:08:08
52306,1455,f,LPA0739,2024-12-15 19:08:08
52305,170,f,LPA0732,2024-12-15 19:08:08
52303,228,f,LPA0729,2024-12-15 19:08:08
52302,299,f,LPA0724,2024-12-15 19:08:08
52301,273,f,LPA0765,2024-12-15 19:08:08
52300,421,f,LPA0706,2024-12-15 19:08:08
52299,183,f,LPA0702,2024-12-15 19:08:08
52298,411,f,LPA0766,2024-12-15 19:08:08
52304,311,f,LPA0731,2024-12-15 19:08:08
52320,1460,f,LPA0739,2024-12-15 19:09:08
52324,219,f,LPA0752,2024-12-15 19:09:08
52323,120,f,LPA0751,2024-12-15 19:09:08
52322,276,f,LPA0746,2024-12-15 19:09:08
52321,115,f,LPA0740,2024-12-15 19:09:08
52319,169,f,LPA0732,2024-12-15 19:09:08
52325,142,f,LPA0759,2024-12-15 19:09:08
52317,229,f,LPA0729,2024-12-15 19:09:08
52313,410,f,LPA0766,2024-12-15 19:09:08
52314,182,f,LPA0702,2024-12-15 19:09:08
52318,312,f,LPA0731,2024-12-15 19:09:08
52316,301,f,LPA0724,2024-12-15 19:09:08
52315,424,f,LPA0706,2024-12-15 19:09:08
52337,603,f,LPA0768,2024-12-15 19:10:10
52336,986,f,LPA0758,2024-12-15 19:10:10
52335,180,f,LPA0756,2024-12-15 19:10:10
52334,773,f,LPA0749,2024-12-15 19:10:10
52332,314,f,LPA0731,2024-12-15 19:10:10
52333,1462,f,LPA0739,2024-12-15 19:10:10
52330,300,f,LPA0724,2024-12-15 19:10:10
52329,274,f,LPA0765,2024-12-15 19:10:10
52328,427,f,LPA0706,2024-12-15 19:10:10
52327,180,f,LPA0702,2024-12-15 19:10:10
52326,408,f,LPA0766,2024-12-15 19:10:10
52331,230,f,LPA0729,2024-12-15 19:10:10
52345,277,f,LPA0746,2024-12-15 19:11:10
52350,985,f,LPA0758,2024-12-15 19:11:10
52349,179,f,LPA0756,2024-12-15 19:11:10
52348,121,f,LPA0751,2024-12-15 19:11:10
52347,1520,f,LPA0750,2024-12-15 19:11:10
52344,1466,f,LPA0739,2024-12-15 19:11:10
52346,772,f,LPA0749,2024-12-15 19:11:10
52342,317,f,LPA0731,2024-12-15 19:11:10
52341,386,f,LPA0716,2024-12-15 19:11:10
52340,271,f,LPA0765,2024-12-15 19:11:10
52339,430,f,LPA0706,2024-12-15 19:11:10
52338,182,f,LPA0702,2024-12-15 19:11:10
52343,411,f,LPA0737,2024-12-15 19:11:10
52362,143,f,LPA0759,2024-12-15 19:12:09
52361,178,f,LPA0756,2024-12-15 19:12:09
52360,1469,f,LPA0739,2024-12-15 19:12:09
52359,170,f,LPA0732,2024-12-15 19:12:09
52358,322,f,LPA0731,2024-12-15 19:12:09
52357,229,f,LPA0729,2024-12-15 19:12:09
52356,306,f,LPA0724,2024-12-15 19:12:09
52354,69,f,LPA0764,2024-12-15 19:12:09
52353,273,f,LPA0765,2024-12-15 19:12:09
52352,436,f,LPA0706,2024-12-15 19:12:09
52351,410,f,LPA0766,2024-12-15 19:12:09
52355,387,f,LPA0716,2024-12-15 19:12:09
52371,412,f,LPA0737,2024-12-15 19:13:10
52376,984,f,LPA0758,2024-12-15 19:13:10
52377,144,f,LPA0759,2024-12-15 19:13:10
52374,120,f,LPA0751,2024-12-15 19:13:10
52372,1466,f,LPA0739,2024-12-15 19:13:10
52370,172,f,LPA0732,2024-12-15 19:13:10
52375,180,f,LPA0756,2024-12-15 19:13:10
52368,228,f,LPA0729,2024-12-15 19:13:10
52369,323,f,LPA0731,2024-12-15 19:13:10
52363,411,f,LPA0766,2024-12-15 19:13:10
52364,181,f,LPA0702,2024-12-15 19:13:10
52373,1519,f,LPA0750,2024-12-15 19:13:10
52367,307,f,LPA0724,2024-12-15 19:13:10
52366,437,f,LPA0706,2024-12-15 19:13:10
52365,311,f,LPA0703,2024-12-15 19:13:10
52378,183,f,LPA0702,2024-12-15 19:14:10
52379,438,f,LPA0706,2024-12-15 19:14:10
52380,230,f,LPA0729,2024-12-15 19:14:10
52381,1467,f,LPA0739,2024-12-15 19:14:10
52382,276,f,LPA0746,2024-12-15 19:14:10
52383,1518,f,LPA0750,2024-12-15 19:14:10
52384,179,f,LPA0756,2024-12-15 19:14:10
